PERMNO,DATE,RET
89740,20031210,0.062083
89740,20031211,0.029816
89740,20031212,-0.015800
89740,20031215,-0.002439
89740,20031216,-0.021797
89740,20031217,0.059975
89740,20031218,0.021611
89740,20031219,-0.025000
89740,20031222,-0.001183
89740,20031223,0.016983
89740,20031224,0.019417
89740,20031226,-0.019048
89740,20031229,0.000000
89740,20031230,0.003884
89740,20031231,-0.006576
89740,20040102,0.020249
89740,20040105,-0.007634
89740,20040106,-0.019231
89740,20040107,0.078431
89740,20040108,0.036364
89740,20040109,-0.061754
89740,20040112,0.009723
89740,20040113,-0.027778
89740,20040114,0.028571
89740,20040115,-0.018519
89740,20040116,-0.004717
89740,20040120,0.014218
89740,20040121,0.000000
89740,20040122,0.000000
89740,20040123,-0.018135
89740,20040126,0.018470
89740,20040127,-0.008411
89740,20040128,0.008483
89740,20040129,-0.011215
89740,20040130,0.005671
89740,20040202,0.000000
89740,20040203,-0.005639
89740,20040204,0.011342
89740,20040205,0.000000
89740,20040206,-0.004673
89740,20040209,0.000000
89740,20040210,0.000000
89740,20040211,0.014085
89740,20040212,0.000000
89740,20040213,0.000000
89740,20040217,0.000556
89740,20040218,0.045715
89740,20040219,-0.026549
89740,20040220,0.000000
89740,20040223,-0.009055
89740,20040224,-0.000037
89740,20040225,0.009174
89740,20040226,0.000000
89740,20040227,-0.004545
89740,20040301,-0.004566
89740,20040302,0.045872
89740,20040303,-0.025965
89740,20040304,-0.000540
89740,20040305,0.000000
89740,20040308,0.000000
89740,20040309,0.045233
89740,20040310,-0.030345
89740,20040311,0.057966
89740,20040312,-0.016807
89740,20040315,-0.042735
89740,20040316,0.000000
89740,20040317,0.000000
89740,20040318,0.017857
89740,20040319,-0.077193
89740,20040322,0.096920
89740,20040323,-0.032895
89740,20040324,-0.004480
89740,20040325,0.026103
89740,20040326,-0.017544
89740,20040329,0.035714
89740,20040330,-0.060000
89740,20040331,0.021827
89740,20040401,-0.016335
89740,20040402,-0.005474
89740,20040405,-0.018349
89740,20040406,0.022991
89740,20040407,0.000000
89740,20040408,0.023205
89740,20040412,-0.023214
89740,20040413,0.000548
89740,20040414,0.009136
89740,20040415,-0.009053
89740,20040416,0.014252
89740,20040419,-0.053864
89740,20040420,0.047220
89740,20040421,-0.018182
89740,20040422,-0.009259
89740,20040423,0.002243
89740,20040426,0.007087
89740,20040427,0.037037
89740,20040428,0.008929
89740,20040429,-0.044248
89740,20040430,0.018519
89740,20040503,0.080727
89740,20040504,-0.141992
89740,20040505,-0.058824
89740,20040506,0.010417
89740,20040507,0.030928
89740,20040510,-0.040000
89740,20040511,0.031250
89740,20040512,0.046465
89740,20040513,-0.039575
89740,20040514,0.000000
89740,20040517,0.125226
89740,20040518,-0.044302
89740,20040519,0.009346
89740,20040520,-0.033889
89740,20040521,0.015910
89740,20040524,0.000000
89740,20040525,-0.001887
89740,20040526,-0.031002
